id;description;date_added;date_modified;status
1;Table;2021-10-20;2021-10-20;AVAILABLE
2;lavender transmit SCSI;2021-10-20;2021-10-20;RESTRICTED
3;Music Internal;2021-10-20;2021-10-20;RESTRICTED
4;Planner;2021-10-20;2021-10-20;DISABLED
5;Electronics;2021-10-20;2021-10-20;RESTRICTED
6;Salad killer;2021-10-20;2021-10-20;AVAILABLE
7;Persevering Tasty;2021-10-20;2021-10-20;RESTRICTED
8;array;2021-10-20;2021-10-20;AVAILABLE
9;Mexico deposit;2021-10-20;2021-10-20;RESTRICTED
10;visionary;2021-10-20;2021-10-20;AVAILABLE
